"‘Provocateur’, ‘radicaal-rechtse agenda’ en ‘complottheorieën’: dit is het schrikbarende niveau van ‘onze’ media",106,13.011
"Nieuw-Zeelandse premier Jacinda Ardern: ‘Tenzij u het van ons hoort, is het niet de waarheid’",74,13.331
"Bedrijf waar Ab Osterhaus aandelen in heeft, deed onderzoek voor enige bedrijf dat apenpokkenvaccin levert",109,13.662
Tragisch: Piloot overlijdt in de cockpit tijdens vlucht,56,16.208
"Kaag snapt ‘helemaal niets’ van financiën: ‘Dit was geen foutje, dit lijkt foute kennis’",104,14.606
"Diepgravend Wob-onderzoek: ‘De avondklok werkte niet, heeft nooit gewerkt en dat wist men’",103,12.294
"Arts haalt vernietigend uit naar Bill Gates: ‘Saving the world, my ass!’",117,15.644
Journalist maakt compleet gehakt van berichtgeving NOS: ‘De meeste mensen willen niet meer bij Oekraïne horen’,76,17.970
Arts klapt uit de school: veel artsen en hun gezinnen krijgen valse vaccinatiepaspoorten,102,20.649
Uitvaartverzorgers kampen met nieuw fenomeen: ‘Het gaat maar door’,96,20.062
Journalist: ‘Deze biowapens zijn gemaakt door een globalistische schurkenstaat die ons wil uitroeien’,90,12.924
3 artsen van dezelfde ziekenhuisgroep sterven vlak na elkaar na vierde prik,123,20.672
Kijk: Alice van LNN Media door politieagent bij de keel gepakt – ‘Het liep gewoon helemaal uit de klauwen’,145,19.292
Donald Trump spreekt steun uit voor dappere Nederlandse boeren: ‘Verschrikkelijk wat er gebeurt’,130,11.542
Pepijn van Houwelingen houdt vlammend betoog op de Dam: ‘De globalisten hebben ons land overgenomen’,123,14.750
Acteur Kevin Sorbo steunt Nederlandse boeren: ‘World Economic Forum pusht absurde en krankzinnige Green Deal’,64,10.477
Oud-generaal Michael Flynn spreekt Nederland toe: ‘De hele wereld staat achter de boeren’,103,17.748
Kritiek op besluit WHO om apenpokken uit te roepen tot internationaal gevaar volksgezondheid: ‘Absurditeit ten top’,168,14.246
‘Onbekende doodsoorzaak’ is inmiddels de grootste killer: wat gebeurt hier in vredesnaam?,91,18.338
Aantal ‘coronadoden’ Nieuw-Zeeland stijgt naar recordhoogte: ‘Doet ernstige vragen rijzen’,114,15.251
Historisch vonnis: Italiaanse rechter vernietigt schorsing van niet-gevaccineerde psycholoog,67,12.172
Na dit interview kijk je nooit meer hetzelfde naar de oorlog in Oekraïne,60,17.113
RTL Nieuws haalt video offline die ‘verkeerde voorstelling van zaken’ geeft: ‘Letterlijk nepnieuws dus’,63,16.816
Was het dinsdag ‘on-Nederlands’ heet? ‘Het KNMI zaait onnodig klimaatangst’,90,9.553
"Gideon van Meijeren boos: ‘Dat de Kamer hier niet eens debat over wilde voeren, bevestigt hoe diep dit land gezonken is’",94,13.894
Nu al 15 keer meer meldingen van bijwerkingen bij coronavaccins dan ingeschat door Lareb,59,9.871
Defensie uitgelachen om nieuwe dienstvoertuigen: ‘Dit land is stuk!’,286,20.925
Financieel expert ziet ‘enorme chaos’ op ons afkomen: ‘Dit is de moeder aller crisissen’,124,19.562
In beeld: zo vernietigt het Oekraïense leger graansilo’s en oogsten,83,12.551
"Viervoudig gevaccineerde Biden heeft corona: ‘Al is de leugen nog zo snel, de waarheid achterhaalt hem wel’",131,12.856
Deze neuroloog ziet steeds meer jonge patiënten en ze zijn allemaal gevaccineerd,40,13.379
"Het rommelt binnen de VVD, Statenlid vertrekt: ‘Partijtop gaat op bedenkelijke wijze met onze boeren om’",112,12.702
Russell Brand ageert fel tegen Great Reset: het bankroet van de boeren is het gewenste eindpunt,59,11.542
"Poetin kondigt aan: een nieuw tijdperk is aanstaande, een nieuwe fase in de wereldgeschiedenis",106,20.770
"3 Bundesliga-spelers krijgen vlak na elkaar teelbalkanker, toeval?",99,11.170
"Hoofdeconoom: ‘Dat de inflatie samenhangt met de oorlog in Oekraïne, slaat eigenlijk nergens op’",95,11.512
Duitse ministerie van Volksgezondheid geeft toe: 1 op 5000 injecties leidt tot ernstige bijwerking,69,14.402
